Generation,PopBest,PopAvg,BestOverall
0,627.7297,-54.86597,627.7297
1,1152.849,166.497,1152.849
2,764.7458,62.22518,1152.849
3,2127.581,299.4161,2127.581
4,9011.504,693.0052,9011.504
5,2101.393,334.4105,9011.504
6,1143.135,122.0864,9011.504
7,66254.43,2642.424,66254.43
8,530.5249,31.46405,66254.43
9,894.4956,144.0553,66254.43
10,3846.432,351.6077,66254.43
11,2329.095,-50.99706,66254.43
12,1065756,43297.16,1065756
13,3245.75,8.606527,1065756
14,10945.04,569.676,1065756
15,111.6176,-129.7496,1065756
16,1204.314,210.7383,1065756
17,13479.01,820.1404,1065756
18,1197134,48849.43,1197134
19,709.516,48.67122,1197134
20,1117978,44963.25,1197134
21,65547.48,3134.793,1197134
22,1157801,46544.94,1197134
23,6410.551,476.519,1197134
24,1458.845,98.18887,1197134

