Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,8714.116,-1061.957,520.0469,2006.401,8714.116
1,9404.42,-69.37611,3275.754,3674.497,9404.42
2,15843.05,-30.17056,5942.759,4126.304,15843.05
3,24404.75,44.16237,7780.601,6122.024,24404.75
4,24481.33,23.55869,10313.04,9177.65,24481.33
5,24531.35,49.28824,10099.62,9362.702,24531.35
6,24404.75,102.4032,12391.61,9251.032,24531.35
7,24404.75,4.869775,12237.47,8463.667,24531.35
8,24481.33,3.475936,14087.84,8656.549,24531.35
9,24404.75,35.16563,10829.83,8348.932,24531.35
10,24404.75,-30.50442,11711.08,8820.844,24531.35
11,24404.75,-100.1573,13146.36,8106.992,24531.35
12,24404.75,-14.37636,10470.72,9148.424,24531.35
13,24404.75,109.5454,13863.37,8154.865,24531.35
14,24481.33,-31.61699,11342.51,9284.517,24531.35
15,24404.75,-165.823,10108.8,9363.435,24531.35
16,24404.75,-11.02759,14754.06,9042.64,24531.35
17,24404.75,-205.6884,9995.827,9411.168,24531.35
18,24404.75,-15.87318,15751.69,7368.456,24531.35
19,24404.75,80.71629,13514.87,9041.02,24531.35
20,24404.75,-24.19105,10077.74,9237.146,24531.35
21,24404.75,-179.1734,12645.62,8674.197,24531.35
22,24481.33,13.94832,13309.11,8250.644,24531.35
23,24404.75,36.12842,13996.48,8778.883,24531.35
24,24481.33,-13.35089,13063.35,8351.914,24531.35
25,24481.33,19.92391,10350.98,8704.023,24531.35
26,24404.75,24.57184,10833.3,8434.131,24531.35
27,24481.33,36.53712,10524.55,7952.078,24531.35
28,24481.33,3.989397,10524.07,8488.204,24531.35
29,24481.33,132.9577,14186.33,8922.688,24531.35
30,24404.75,-35.74417,12687.19,8971.133,24531.35
31,24481.33,-161.3453,12066.38,8601.323,24531.35
32,24404.75,-54.94755,12208.74,8330.72,24531.35
33,24404.75,-111.2174,10229.33,7858.531,24531.35
34,24481.33,153.2964,12946.58,9413.27,24531.35
35,24531.35,15.16844,14128.29,8879.895,24531.35
36,24404.75,116.5109,12734.85,7972.289,24531.35
37,24404.75,-96.08499,13637.83,8748.168,24531.35
38,24531.35,44.7894,13265.67,8597.158,24531.35
39,24481.33,36.18772,9426.402,8683.838,24531.35
40,24481.33,-47.16563,14675.71,8308.577,24531.35
41,24404.75,22.40588,14552.62,8097.55,24531.35
42,24404.75,26.56335,12776.21,7895.004,24531.35
43,24404.75,-81.81543,9892.211,8285.398,24531.35
44,24404.75,24.70775,12206.51,8605.293,24531.35
45,24128.5,9.720391,9859.671,7436.375,24531.35
46,24481.33,81.08466,12500.71,8947.022,24531.35
47,24481.33,33.12628,11917.46,8612.286,24531.35
48,24481.33,2499.259,15299.03,7435.688,24531.35
49,24481.33,-221.5201,12410.78,8155.615,24531.35
50,24404.75,26.64064,13215.22,8692.933,24531.35
51,24481.33,-3.289733,12973.66,6817.796,24531.35
52,24481.33,-245.9302,10194.42,8722.335,24531.35
53,24404.75,-110.7617,9594.794,9297.249,24531.35
54,24404.75,114.4725,13720.17,9095.39,24531.35
55,24404.75,33.24981,12251.4,7614.079,24531.35
56,24404.75,-179.9731,11505.06,9526.23,24531.35
57,24404.75,-184.4554,11352.31,9278.149,24531.35
58,24404.75,-186.8062,11246.12,8428.369,24531.35
59,24531.35,-13.19528,12941.2,8904.174,24531.35
60,24481.33,-180.3822,10897.82,9657.025,24531.35
61,24481.33,52.84084,14691.91,8849.255,24531.35
62,24481.33,22.60396,11194.24,7931.345,24531.35
63,24481.33,-12.50684,11856.28,7640.276,24531.35
64,24404.75,29.27075,12842.66,8540.742,24531.35
65,24404.75,47.54081,13541.06,8022.477,24531.35
66,24481.33,-185.0862,12690.38,9258.183,24531.35
67,24404.75,-48.10963,12790.79,8874.414,24531.35
68,24404.75,13.95099,9860.65,8277.464,24531.35
69,24404.75,-132.8456,10872.93,7323.031,24531.35
70,24404.75,-64.04916,10386.37,8189.81,24531.35
71,24404.75,-236.5294,14788.66,5822.925,24531.35
72,24404.75,17.15754,8315.358,8339.592,24531.35
73,24481.33,-111.5811,9349.179,9922.692,24531.35
74,24404.75,-108.2868,10675.57,8851.904,24531.35

