Generation,PopBest,PopWorst,PopAvg,StdDeviation,BestOverall
0,2240,-1068.698,103.47,532.7579,2240
1,2358.917,2.805567,948.4957,976.9101,2358.917
2,3740.186,2.310885,1912.839,984.0254,3740.186
3,6727.383,6.352511,3123.149,2136.74,6727.383
4,5964.875,2.134439,3595.568,2504.165,6727.383
5,6597.32,1.653176,3237.358,2516.452,6727.383
6,7398.132,6.382935,4834.474,2176.063,7398.132
7,7246.372,-142.3043,4541.023,2707.682,7398.132
8,7246.372,2.25709,4673.501,2755.547,7398.132
9,7398.132,2.772695,4324.239,2991.073,7398.132
10,6328.483,6.351891,3234.498,2811.092,7398.132
11,8887.907,6.416754,4589.849,3043.694,8887.907
12,9104.736,2.089216,4299.149,3374.874,9104.736
13,10445.34,2.079486,4346.857,4074.427,10445.34
14,11000.74,1.894705,5239.518,4502.703,11000.74
15,1031552,-2.829511,46027.29,201225.6,1031552
16,1034424,2.089501,216361.6,408153.3,1034424
17,1033059,-18.49229,342417.4,475982.6,1034424
18,1037743,6.663307,454539.2,511982.7,1037743
19,1037808,6.356493,413940.6,506152,1037808
20,1043066,6.663307,457251.2,512421.8,1043066
21,1045090,2.761169,454533,511885,1045090
22,1193950,-79.96529,552619.5,519338.4,1193950
23,1196066,1.661865,855928,479044.8,1196066
24,1200050,2.079479,892226.1,502411.3,1200050
25,1201798,2.113524,720634.8,581378.7,1201798
26,1223560,-3.816695,832475.9,536083.7,1223560
27,1229111,2.089513,700844.6,576474.2,1229111
28,1261730,1.995687,855753.1,507361.1,1261730
29,1473097,6.394834,919496.8,553145.6,1473097
30,1474976,1.199284,975493.1,547841.4,1474976
31,1474225,1.552521,616255.7,642754.6,1474976
32,1341737,1.996973,771651.5,623445.4,1474976
33,1381986,2.10538,897593.2,614083.4,1474976
34,1381986,2.104239,1024783,575994.9,1474976
35,1408203,2.038376,816865.6,666614.4,1474976
36,1426383,6.365529,1060749,596007.1,1474976
37,1429964,6.366317,1017017,632589,1474976
38,1430521,2.177811,1016288,633614.3,1474976
39,1473357,2.333247,907156.8,678013.6,1474976
40,1472306,2.07944,869366.6,704289,1474976
41,1472355,2.08952,589664,716334.9,1474976
42,1472809,1.656695,879752,718036.8,1474976
43,1472809,-2.839896,531101.3,706003.6,1474976
44,1472822,6.682617,942643.4,706370.2,1474976
45,1500833,2.508466,768225.6,735382.3,1500833
46,1509175,6.371211,951518.6,712824.4,1509175
47,1512111,-6.99792,843775.7,744820.8,1512111
48,1512111,2.29072,1148330,642415.5,1512111
49,1512111,1.808567,967074.2,724280.7,1512111
50,1512111,1.672347,1027410,703387.1,1512111
51,1519608,2.2952,968154.9,722922,1519608
52,1522655,1.91925,1093730,674668.3,1522655
53,1523195,2.505624,972736.6,727483.3,1523195
54,1523323,2.089618,1033725,708251.5,1523323
55,1528077,1.679735,913852.9,744116.4,1528077
56,1528423,-0.7671292,791516.3,754062,1528423
57,1540237,2.49468,919509.4,742893.6,1540237
58,1540856,1.17717,857020.8,759539,1540856
59,1564511,6.42446,742152.9,767300.7,1564511
60,1564975,2.162097,557327.8,742762,1564975
61,1564975,6.604429,624892.4,763375.7,1564975
62,1565391,2.521088,625984.4,765788.8,1565391
63,1564976,6.361542,812244.8,780320.1,1565391
64,1565391,2.813359,627057.6,765753.2,1565391
65,1581408,0.7104855,690515.8,776309.7,1581408
66,1582011,-4.127471,630622.2,769723.1,1582011
67,1582580,2.089507,1201986,675433.2,1582580
68,1582115,2.079437,946652.9,772031.1,1582580
69,1592148,2.089501,1011623,757137.3,1592148
70,1592383,2.117257,1268453,633807.1,1592383
71,1592383,1.635782,1400591,516719.6,1592383
72,1592148,2.505625,954027.8,778181.1,1592383
73,1592383,2.084168,928697.2,767188.4,1592383
74,1592148,2.507026,955408.9,777980,1592383

